edital;tipoObjeto;modalidade;rito;finalidade;processo;centralDeCompras;dataDeAbertura;situacaoOferta;numeroLote;situacaoLote;numeroItem;itemDescricao;quantidade;unidadeMedida;valorUnitario;valorTotal;arrematante;arrematanteCNPJ;url;urlDocumentos;urlPropostas;dataHomologacao
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;14/08/2020 14:37;Homologada;1;Adjudicado;1;MÁSCARA DE PROTEÇÃO NÃO PROFISSIONAL 100% ALGODÃO INFANTIL 02-06 ANOS 2 CAMADAS;35792;un;0.92;32928.64;A.R.S BRASIL INDUSTRIA E COMERCIO, DISTRIBUICAO DE ROUPAS E BRINDES LTDA;2,47954E+13;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784676#proposalsTab;25/08/2020
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;14/08/2020 14:37;Homologada;1;Adjudicado;2;MÁSCARA DE PROTEÇÃO NÃO PROFISSIONAL 100% ALGODÃO - INFANTO-JUVENIL - 2 CAMADAS;214832;un;0.91;195497.12;A.R.S BRASIL INDUSTRIA E COMERCIO, DISTRIBUICAO DE ROUPAS E BRINDES LTDA;2,47954E+13;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784676#proposalsTab;25/08/2020
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;14/08/2020 14:37;Homologada;1;Adjudicado;3;MÁSCARA DE PROTEÇÃO USO NÃO PROFISSIONAL - 100% ALGODÃO - ADULTO;152624;un;0.9;137361.6;A.R.S BRASIL INDUSTRIA E COMERCIO, DISTRIBUICAO DE ROUPAS E BRINDES LTDA;2,47954E+13;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784676#proposalsTab;25/08/2020
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;14/08/2020 14:37;Homologada;2;Adjudicado;1;TAPETE - SANITIZANTE PVC RETANGULAR 10,00MM X 1.000MM X 700MM;744;un;90;66960;KM DISTRIBUIDORA DE PRODUTOS DE INFORMATICA LTDA;1,31263E+13;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784677#proposalsTab;25/08/2020
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;14/08/2020 14:37;Homologada;3;Adjudicado;1;TERMÔMETRO CLINICO - DIGITAL LASER PORTÁTIL - INFRAVERMELHO;1488;un;124.73;185598.24;BMH PRODUTOS MÉDICOS HOSPITALARES LTDA-EPP;2,73007E+13;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784678#proposalsTab;25/08/2020
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;10/08/2020 09:30;Homologada;4;Cancelado;1;PAPEL TOALHA ROLO FOLHA SIMPLES 20CM X 200M - MÍNIMA 28G/M2 BRANCO;22320;rl;;;;;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784679#proposalsTab;
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;10/08/2020 09:30;Homologada;4;Cancelado;2;DETERGENTE LAVA-LOUCA /05 **;89280;em;;;;;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784679#proposalsTab;
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;10/08/2020 09:30;Homologada;4;Cancelado;3;MULTIUSO LIMPADOR INSTANTANEO/500 *;22320;em;;;;;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784679#proposalsTab;
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;10/08/2020 09:30;Homologada;4;Cancelado;4;ÁGUA SANITÁRIA - CLORO ATIVO: 2,0% A 2,5% (P/P) EMBALAGEM COM 05 LITROS;17856;gl;;;;;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784679#proposalsTab;
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;10/08/2020 09:30;Homologada;4;Cancelado;5;ÁLCOOL - ETÍLICO 70 GRAUS INPM LÍQUIDO 1 LITRO;572616;un;;;;;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784679#proposalsTab;
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;14/08/2020 14:37;Homologada;5;Adjudicado;1;ÁLCOOL ETÍLICO 70% - ANTISSÉPTICO INSTANTÂNEO P/MÃOS - GEL - GALÃO 5L;21690;gl;23.88;517957.2;ALPHA HIGIENE E LIMPEZA LTDA;9,27689E+12;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784680#proposalsTab;25/08/2020
0497/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004389-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;14/08/2020 14:37;Homologada;5;Adjudicado;2;ÁLCOOL ETILICO 70% - ANTISSÉPTICO INSTANTÂNEO P/MÃOS - GEL- 500 ML;4338;fr;18.19;78908.22;ALPHA HIGIENE E LIMPEZA LTDA;9,27689E+12;http://www.compras.rs.gov.br/editais/0497_2020/262406;http://www.compras.rs.gov.br/editais/0497_2020/262406#documentsTab;http://www.compras.rs.gov.br/editais/0497_2020/lote/784680#proposalsTab;25/08/2020
0669/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;14/08/2020 09:01;Homologada;1;Deserto (encerrado);1;ESCADA CLÍNICA - ALUMÍNIO REFORÇADO 3 DEGRAUS ANTIDERRAPANTE 950,00MM 120 KG;6;un;;;;;http://www.compras.rs.gov.br/editais/0669_2020/262912;http://www.compras.rs.gov.br/editais/0669_2020/262912#documentsTab;http://www.compras.rs.gov.br/editais/0669_2020/lote/790305#proposalsTab;18/08/2020
0669/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;14/08/2020 09:15;Homologada;2;Deserto (encerrado);1;LANTERNA CLÍNICA - S/ABAIXADOR DE LINGUA - POTÊNCIA - 2,2V - ILUMINAÇÃO LED;2;un;;;;;http://www.compras.rs.gov.br/editais/0669_2020/262912;http://www.compras.rs.gov.br/editais/0669_2020/262912#documentsTab;http://www.compras.rs.gov.br/editais/0669_2020/lote/790306#proposalsTab;18/08/2020
0669/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;14/08/2020 09:30;Homologada;3;Deserto (encerrado);1;NEGATOSCOPIO GRANDE (02 CORPOS);2;un;;;;;http://www.compras.rs.gov.br/editais/0669_2020/262912;http://www.compras.rs.gov.br/editais/0669_2020/262912#documentsTab;http://www.compras.rs.gov.br/editais/0669_2020/lote/790307#proposalsTab;18/08/2020
0669/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;14/08/2020 09:45;Homologada;4;Deserto (encerrado);1;OFTALMOSCÓPIO - 2,5V 19 LENTES ( - 20 A + 20 D);1;un;;;;;http://www.compras.rs.gov.br/editais/0669_2020/262912;http://www.compras.rs.gov.br/editais/0669_2020/262912#documentsTab;http://www.compras.rs.gov.br/editais/0669_2020/lote/790308#proposalsTab;18/08/2020
0669/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;14/08/2020 10:00;Homologada;5;Adjudicado;1;AUTOCLAVE DE ESTERILIZAÇÃO A VAPOR -;1;un;4000;4000;BS EQUIPAMENTOS INDUSTRIA E COMERCIO LTDA;4,70924E+12;http://www.compras.rs.gov.br/editais/0669_2020/262912;http://www.compras.rs.gov.br/editais/0669_2020/262912#documentsTab;http://www.compras.rs.gov.br/editais/0669_2020/lote/790309#proposalsTab;18/08/2020
0669/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;14/08/2020 10:15;Homologada;6;Deserto (encerrado);1;GLICOSÍMETRO - MONITOR DE LED - DISPLAY DIGITAL - MEMÓRIA 200 POSIÇÕES;2;un;;;;;http://www.compras.rs.gov.br/editais/0669_2020/262912;http://www.compras.rs.gov.br/editais/0669_2020/262912#documentsTab;http://www.compras.rs.gov.br/editais/0669_2020/lote/790310#proposalsTab;18/08/2020
0669/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;14/08/2020 10:30;Homologada;7;Deserto (encerrado);1;OTOSCÓPIO - LUPA REMOVÍVEL AUMENTO 4X;1;un;;;;;http://www.compras.rs.gov.br/editais/0669_2020/262912;http://www.compras.rs.gov.br/editais/0669_2020/262912#documentsTab;http://www.compras.rs.gov.br/editais/0669_2020/lote/790311#proposalsTab;18/08/2020
0663/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;13/08/2020 14:05;Homologada;1;Deserto (encerrado);1;AUTOCLAVE DE ESTERILIZAÇÃO A VAPOR -;1;un;;;;;http://www.compras.rs.gov.br/editais/0663_2020/262860;http://www.compras.rs.gov.br/editais/0663_2020/262860#documentsTab;http://www.compras.rs.gov.br/editais/0663_2020/lote/789649#proposalsTab;18/08/2020
0663/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;13/08/2020 14:05;Homologada;1;Deserto (encerrado);2;GLICOSÍMETRO - MONITOR DE LED - DISPLAY DIGITAL - MEMÓRIA 200 POSIÇÕES;2;un;;;;;http://www.compras.rs.gov.br/editais/0663_2020/262860;http://www.compras.rs.gov.br/editais/0663_2020/262860#documentsTab;http://www.compras.rs.gov.br/editais/0663_2020/lote/789649#proposalsTab;18/08/2020
0663/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;13/08/2020 14:05;Homologada;1;Deserto (encerrado);3;OTOSCÓPIO - LUPA REMOVÍVEL AUMENTO 4X;1;un;;;;;http://www.compras.rs.gov.br/editais/0663_2020/262860;http://www.compras.rs.gov.br/editais/0663_2020/262860#documentsTab;http://www.compras.rs.gov.br/editais/0663_2020/lote/789649#proposalsTab;18/08/2020
0663/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;13/08/2020 14:05;Homologada;1;Deserto (encerrado);4;ESCADA CLÍNICA - ALUMÍNIO REFORÇADO 3 DEGRAUS ANTIDERRAPANTE 950,00MM 120 KG;6;un;;;;;http://www.compras.rs.gov.br/editais/0663_2020/262860;http://www.compras.rs.gov.br/editais/0663_2020/262860#documentsTab;http://www.compras.rs.gov.br/editais/0663_2020/lote/789649#proposalsTab;18/08/2020
0663/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;13/08/2020 14:05;Homologada;1;Deserto (encerrado);5;LANTERNA CLÍNICA - S/ABAIXADOR DE LINGUA - POTÊNCIA - 2,2V - ILUMINAÇÃO LED;2;un;;;;;http://www.compras.rs.gov.br/editais/0663_2020/262860;http://www.compras.rs.gov.br/editais/0663_2020/262860#documentsTab;http://www.compras.rs.gov.br/editais/0663_2020/lote/789649#proposalsTab;18/08/2020
0663/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;13/08/2020 14:05;Homologada;1;Deserto (encerrado);6;NEGATOSCOPIO GRANDE (02 CORPOS);2;un;;;;;http://www.compras.rs.gov.br/editais/0663_2020/262860;http://www.compras.rs.gov.br/editais/0663_2020/262860#documentsTab;http://www.compras.rs.gov.br/editais/0663_2020/lote/789649#proposalsTab;18/08/2020
0663/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0602-0005441-7;SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA;13/08/2020 14:05;Homologada;1;Deserto (encerrado);7;OFTALMOSCÓPIO - 2,5V 19 LENTES ( - 20 A + 20 D);1;un;;;;;http://www.compras.rs.gov.br/editais/0663_2020/262860;http://www.compras.rs.gov.br/editais/0663_2020/262860#documentsTab;http://www.compras.rs.gov.br/editais/0663_2020/lote/789649#proposalsTab;18/08/2020
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:31;Homologada;1;Adjudicado;1;MÁSCARA DE PROTEÇÃO NÃO PROFISSIONAL 100% ALGODÃO INFANTIL 02-06 ANOS 2 CAMADAS;36732;un;0.88;32324.16;A.R.S BRASIL INDUSTRIA E COMERCIO, DISTRIBUICAO DE ROUPAS E BRINDES LTDA;2,47954E+13;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784833#proposalsTab;15/09/2020
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:31;Homologada;1;Adjudicado;2;MÁSCARA DE PROTEÇÃO NÃO PROFISSIONAL 100% ALGODÃO - INFANTO-JUVENIL - 2 CAMADAS;220424;un;0.88;193973.12;A.R.S BRASIL INDUSTRIA E COMERCIO, DISTRIBUICAO DE ROUPAS E BRINDES LTDA;2,47954E+13;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784833#proposalsTab;15/09/2020
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:31;Homologada;1;Adjudicado;3;MÁSCARA DE PROTEÇÃO USO NÃO PROFISSIONAL - 100% ALGODÃO - ADULTO;140104;un;0.88;123291.52;A.R.S BRASIL INDUSTRIA E COMERCIO, DISTRIBUICAO DE ROUPAS E BRINDES LTDA;2,47954E+13;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784833#proposalsTab;15/09/2020
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:31;Homologada;2;Adjudicado;1;TAPETE - SANITIZANTE PVC RETANGULAR 10,00MM X 1.000MM X 700MM;372;un;75.26;27996.72;KM DISTRIBUIDORA DE PRODUTOS DE INFORMATICA LTDA;1,31263E+13;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784834#proposalsTab;15/09/2020
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:31;Homologada;3;Adjudicado;1;TERMÔMETRO CLINICO - DIGITAL LASER PORTÁTIL - INFRAVERMELHO;744;un;104.28;77584.32;BMH PRODUTOS MÉDICOS HOSPITALARES LTDA-EPP;2,73007E+13;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784835#proposalsTab;15/09/2020
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:30;Homologada;4;Cancelado;1;PAPEL TOALHA ROLO FOLHA SIMPLES 20CM X 200M - MÍNIMA 28G/M2 BRANCO;11160;rl;;;;;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784836#proposalsTab;
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:30;Homologada;4;Cancelado;2;DETERGENTE LAVA-LOUCA /05 **;44640;em;;;;;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784836#proposalsTab;
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:30;Homologada;4;Cancelado;3;MULTIUSO LIMPADOR INSTANTANEO/500 *;11160;em;;;;;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784836#proposalsTab;
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:30;Homologada;4;Cancelado;4;ÁGUA SANITÁRIA - CLORO ATIVO: 2,0% A 2,5% (P/P) EMBALAGEM COM 05 LITROS;8928;gl;;;;;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784836#proposalsTab;
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:30;Homologada;4;Cancelado;5;ÁLCOOL - ETÍLICO 70 GRAUS INPM LÍQUIDO 1 LITRO;472032;un;;;;;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784836#proposalsTab;
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:31;Homologada;5;Adjudicado;1;ÁLCOOL ETÍLICO 70% - ANTISSÉPTICO INSTANTÂNEO P/MÃOS - GEL - GALÃO 5L;17880;gl;27;482760;NOVA DISTRIBUIDORA DE COSMÉTICOS EIRELI;3,00308E+13;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784837#proposalsTab;15/09/2020
0502/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004396-3;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/08/2020 09:31;Homologada;5;Adjudicado;2;ÁLCOOL ETILICO 70% - ANTISSÉPTICO INSTANTÂNEO P/MÃOS - GEL- 500 ML;3576;fr;5.6;20025.6;NOVA DISTRIBUIDORA DE COSMÉTICOS EIRELI;3,00308E+13;http://www.compras.rs.gov.br/editais/0502_2020/262444;http://www.compras.rs.gov.br/editais/0502_2020/262444#documentsTab;http://www.compras.rs.gov.br/editais/0502_2020/lote/784837#proposalsTab;15/09/2020
0641/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0075122-9;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;12/08/2020 15:00;Homologada;1;Deserto (encerrado);1;CLORETO DE SUXAMETÔNIO 100 MG PÓ INJ 10 ML;455;fa;;;;;http://www.compras.rs.gov.br/editais/0641_2020/262667;http://www.compras.rs.gov.br/editais/0641_2020/262667#documentsTab;http://www.compras.rs.gov.br/editais/0641_2020/lote/787269#proposalsTab;17/06/2021
0641/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0075122-9;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;12/08/2020 15:01;Homologada;2;Não-adjudicado;1;MIDAZOLAM 5 MG/ML SOL INJ 10 ML;12505;fa;;;;;http://www.compras.rs.gov.br/editais/0641_2020/262667;http://www.compras.rs.gov.br/editais/0641_2020/262667#documentsTab;http://www.compras.rs.gov.br/editais/0641_2020/lote/787270#proposalsTab;17/06/2021
0641/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0075122-9;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;12/08/2020 15:00;Homologada;3;Deserto (encerrado);1;BESILATO DE CISATRACÚRIO 2 MG/ML SOL INJ 10ML;941;am;;;;;http://www.compras.rs.gov.br/editais/0641_2020/262667;http://www.compras.rs.gov.br/editais/0641_2020/262667#documentsTab;http://www.compras.rs.gov.br/editais/0641_2020/lote/787271#proposalsTab;17/06/2021
0641/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0075122-9;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;12/08/2020 15:00;Homologada;4;Deserto (encerrado);1;BESILATO DE CISATRACÚRIO 2 MG/ML SOL INJ 5ML;2874;am;;;;;http://www.compras.rs.gov.br/editais/0641_2020/262667;http://www.compras.rs.gov.br/editais/0641_2020/262667#documentsTab;http://www.compras.rs.gov.br/editais/0641_2020/lote/787272#proposalsTab;17/06/2021
0501/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004392-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;12/08/2020 14:30;Homologada;1;Adjudicado;1;MÁSCARA DE PROTEÇÃO NÃO PROFISSIONAL 100% ALGODÃO INFANTIL 02-06 ANOS 2 CAMADAS;22424;un;1.04;23320.96;LAMAISON ASSESSORIA EM SAÚDE E EDUCAÇÃO CONTINUADA EIRELI;1,14072E+13;http://www.compras.rs.gov.br/editais/0501_2020/262442;http://www.compras.rs.gov.br/editais/0501_2020/262442#documentsTab;http://www.compras.rs.gov.br/editais/0501_2020/lote/784827#proposalsTab;26/08/2020
0501/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004392-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;12/08/2020 14:30;Homologada;1;Adjudicado;2;MÁSCARA DE PROTEÇÃO NÃO PROFISSIONAL 100% ALGODÃO - INFANTO-JUVENIL - 2 CAMADAS;134604;un;1.05;141334.2;LAMAISON ASSESSORIA EM SAÚDE E EDUCAÇÃO CONTINUADA EIRELI;1,14072E+13;http://www.compras.rs.gov.br/editais/0501_2020/262442;http://www.compras.rs.gov.br/editais/0501_2020/262442#documentsTab;http://www.compras.rs.gov.br/editais/0501_2020/lote/784827#proposalsTab;26/08/2020
